pk,cod_comuna,comuna,fecha,violencia_o_intimidacion,sorpresa,fuerza,vehiculo,acce_vehiculo,lugar_habitado,lugar_no_habitado,otros_robos_fuerza,hurtos,lesiones,lesiones_leves,lesiones_graves,homicidios,violacion
11464,9104,Curarrehue,1/4/10,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11465,9104,Curarrehue,1/5/10,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11466,9104,Curarrehue,1/6/10,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11467,9104,Curarrehue,1/7/10,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11468,9104,Curarrehue,1/8/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11469,9104,Curarrehue,1/9/10,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11470,9104,Curarrehue,1/10/10,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11471,9104,Curarrehue,1/11/10,0,0,0,0,0,0,0,0,0,2,0,2,0,0
11472,9104,Curarrehue,1/12/10,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11473,9104,Curarrehue,1/1/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11474,9104,Curarrehue,1/2/11,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11475,9104,Curarrehue,1/3/11,0,0,0,0,0,0,0,0,0,3,1,2,0,0
11476,9104,Curarrehue,1/4/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11477,9104,Curarrehue,1/5/11,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11478,9104,Curarrehue,1/6/11,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11479,9104,Curarrehue,1/7/11,0,0,0,0,0,0,0,0,0,2,2,0,0,1
11480,9104,Curarrehue,1/8/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11481,9104,Curarrehue,1/9/11,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11482,9104,Curarrehue,1/10/11,0,0,0,0,0,0,0,0,1,2,1,1,0,0
11483,9104,Curarrehue,1/11/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11484,9104,Curarrehue,1/12/11,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11485,9104,Curarrehue,1/1/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11486,9104,Curarrehue,1/2/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11487,9104,Curarrehue,1/3/12,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11488,9104,Curarrehue,1/4/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11489,9104,Curarrehue,1/5/12,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11490,9104,Curarrehue,1/6/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11491,9104,Curarrehue,1/7/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11492,9104,Curarrehue,1/8/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11493,9104,Curarrehue,1/9/12,0,0,1,0,0,0,1,0,1,0,0,0,0,0
11494,9104,Curarrehue,1/10/12,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11495,9104,Curarrehue,1/11/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11496,9104,Curarrehue,1/12/12,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11497,9104,Curarrehue,1/1/13,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11498,9104,Curarrehue,1/2/13,0,0,0,0,0,0,0,0,0,2,0,2,0,0
11499,9104,Curarrehue,1/3/13,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11500,9104,Curarrehue,1/4/13,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11501,9104,Curarrehue,1/5/13,0,0,0,0,0,0,0,0,0,2,1,1,1,0
11502,9104,Curarrehue,1/6/13,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11503,9104,Curarrehue,1/7/13,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11504,9104,Curarrehue,1/8/13,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11505,9104,Curarrehue,1/9/13,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11506,9104,Curarrehue,1/10/13,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11507,9104,Curarrehue,1/11/13,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11508,9104,Curarrehue,1/12/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11509,9104,Curarrehue,1/1/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11510,9104,Curarrehue,1/2/14,0,0,0,0,0,0,0,0,0,2,0,2,0,0
11511,9104,Curarrehue,1/3/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11512,9104,Curarrehue,1/4/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11513,9104,Curarrehue,1/5/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11514,9104,Curarrehue,1/6/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11515,9104,Curarrehue,1/7/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11516,9104,Curarrehue,1/8/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11517,9104,Curarrehue,1/9/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11518,9104,Curarrehue,1/10/14,0,0,0,0,0,0,0,0,1,3,3,0,0,0
11519,9104,Curarrehue,1/11/14,0,0,1,0,0,0,1,0,0,1,1,0,0,0
11520,9104,Curarrehue,1/12/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11521,9104,Curarrehue,1/1/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11522,9104,Curarrehue,1/2/15,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11523,9104,Curarrehue,1/3/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11524,9104,Curarrehue,1/4/15,1,0,0,0,0,0,0,0,0,1,1,0,0,0
11525,9104,Curarrehue,1/5/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11526,9104,Curarrehue,1/6/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11527,9104,Curarrehue,1/7/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11528,9104,Curarrehue,1/8/15,0,0,1,0,0,1,0,0,0,1,1,0,0,0
11529,9104,Curarrehue,1/9/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11530,9104,Curarrehue,1/10/15,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11531,9104,Curarrehue,1/11/15,0,0,0,0,0,0,0,0,1,2,2,0,0,0
11532,9104,Curarrehue,1/12/15,1,0,0,0,0,0,0,0,0,1,1,0,0,0
11533,9104,Curarrehue,1/1/16,1,0,0,0,0,0,0,0,0,1,0,1,0,0
11534,9104,Curarrehue,1/2/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11535,9104,Curarrehue,1/3/16,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11536,9104,Curarrehue,1/4/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11537,9104,Curarrehue,1/5/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11538,9104,Curarrehue,1/6/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11539,9104,Curarrehue,1/7/16,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11540,9104,Curarrehue,1/8/16,0,0,2,0,0,1,1,0,1,1,1,0,0,0
11541,9104,Curarrehue,1/9/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11542,9104,Curarrehue,1/10/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11543,9104,Curarrehue,1/11/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11544,9104,Curarrehue,1/12/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11545,9104,Curarrehue,1/1/17,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11546,9104,Curarrehue,1/2/17,0,0,0,0,0,0,0,0,0,3,1,2,0,0
11547,9104,Curarrehue,1/3/17,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11548,9104,Curarrehue,1/4/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11549,9104,Curarrehue,1/5/17,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11550,9104,Curarrehue,1/6/17,0,0,0,0,0,0,0,0,0,3,2,1,0,0
11551,7103,Curepto,1/1/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11552,7103,Curepto,1/2/05,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11553,7103,Curepto,1/3/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11554,7103,Curepto,1/4/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11555,7103,Curepto,1/5/05,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11556,7103,Curepto,1/6/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11557,7103,Curepto,1/7/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11558,7103,Curepto,1/8/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11559,7103,Curepto,1/9/05,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11560,7103,Curepto,1/10/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11561,7103,Curepto,1/11/05,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11562,7103,Curepto,1/12/05,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11563,7103,Curepto,1/1/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11564,7103,Curepto,1/2/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11565,7103,Curepto,1/3/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11566,7103,Curepto,1/4/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11567,7103,Curepto,1/5/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11568,7103,Curepto,1/6/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11569,7103,Curepto,1/7/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11570,7103,Curepto,1/8/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11571,7103,Curepto,1/9/06,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11572,7103,Curepto,1/10/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11573,7103,Curepto,1/11/06,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11574,7103,Curepto,1/12/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11575,7103,Curepto,1/1/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11576,7103,Curepto,1/2/07,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11577,7103,Curepto,1/3/07,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11578,7103,Curepto,1/4/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11579,7103,Curepto,1/5/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11580,7103,Curepto,1/6/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11581,7103,Curepto,1/7/07,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11582,7103,Curepto,1/8/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11583,7103,Curepto,1/9/07,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11584,7103,Curepto,1/10/07,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11585,7103,Curepto,1/11/07,0,0,1,0,1,0,0,0,2,0,0,0,0,0
11586,7103,Curepto,1/12/07,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11587,7103,Curepto,1/1/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11588,7103,Curepto,1/2/08,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11589,7103,Curepto,1/3/08,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11590,7103,Curepto,1/4/08,0,0,0,0,0,0,0,0,0,2,0,2,0,0
11591,7103,Curepto,1/5/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11592,7103,Curepto,1/6/08,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11593,7103,Curepto,1/7/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11594,7103,Curepto,1/8/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11595,7103,Curepto,1/9/08,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11596,7103,Curepto,1/10/08,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11597,7103,Curepto,1/11/08,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11598,7103,Curepto,1/12/08,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11599,7103,Curepto,1/1/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11600,7103,Curepto,1/2/09,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11601,7103,Curepto,1/3/09,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11602,7103,Curepto,1/4/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11603,7103,Curepto,1/5/09,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11604,7103,Curepto,1/6/09,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11605,7103,Curepto,1/7/09,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11606,7103,Curepto,1/8/09,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11607,7103,Curepto,1/9/09,0,0,0,0,0,0,0,0,0,2,1,1,1,0
11608,7103,Curepto,1/10/09,0,0,0,0,0,0,0,0,2,1,1,0,0,0
11609,7103,Curepto,1/11/09,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11610,7103,Curepto,1/12/09,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11611,7103,Curepto,1/1/10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11612,7103,Curepto,1/2/10,0,0,0,0,0,0,0,0,1,2,2,0,0,0
11613,7103,Curepto,1/3/10,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11614,7103,Curepto,1/4/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11615,7103,Curepto,1/5/10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11616,7103,Curepto,1/6/10,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11617,7103,Curepto,1/7/10,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11618,7103,Curepto,1/8/10,0,0,1,0,0,0,1,0,0,1,1,0,0,0
11619,7103,Curepto,1/9/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11620,7103,Curepto,1/10/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11621,7103,Curepto,1/11/10,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11622,7103,Curepto,1/12/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11623,7103,Curepto,1/1/11,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11624,7103,Curepto,1/2/11,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11625,7103,Curepto,1/3/11,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11626,7103,Curepto,1/4/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11627,7103,Curepto,1/5/11,0,0,1,0,0,1,0,0,1,2,2,0,0,0
11628,7103,Curepto,1/6/11,0,0,1,0,0,0,1,0,1,1,0,1,0,0
11629,7103,Curepto,1/7/11,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11630,7103,Curepto,1/8/11,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11631,7103,Curepto,1/9/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11632,7103,Curepto,1/10/11,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11633,7103,Curepto,1/11/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11634,7103,Curepto,1/12/11,0,0,0,0,0,0,0,0,1,2,1,1,0,0
11635,7103,Curepto,1/1/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11636,7103,Curepto,1/2/12,0,0,0,0,0,0,0,0,0,3,2,1,0,0
11637,7103,Curepto,1/3/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11638,7103,Curepto,1/4/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11639,7103,Curepto,1/5/12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11640,7103,Curepto,1/6/12,0,0,0,0,0,0,0,0,1,2,2,0,0,1
11641,7103,Curepto,1/7/12,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11642,7103,Curepto,1/8/12,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11643,7103,Curepto,1/9/12,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11644,7103,Curepto,1/10/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11645,7103,Curepto,1/11/12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11646,7103,Curepto,1/12/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11647,7103,Curepto,1/1/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11648,7103,Curepto,1/2/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11649,7103,Curepto,1/3/13,0,0,1,1,0,0,0,0,1,1,0,1,0,0
11650,7103,Curepto,1/4/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11651,7103,Curepto,1/5/13,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11652,7103,Curepto,1/6/13,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11653,7103,Curepto,1/7/13,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11654,7103,Curepto,1/8/13,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11655,7103,Curepto,1/9/13,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11656,7103,Curepto,1/10/13,0,0,1,0,1,0,0,0,1,0,0,0,0,0
11657,7103,Curepto,1/11/13,0,0,1,0,0,1,0,0,0,2,1,1,0,0
11658,7103,Curepto,1/12/13,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11659,7103,Curepto,1/1/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11660,7103,Curepto,1/2/14,0,0,0,0,0,0,0,0,1,2,1,1,0,0
11661,7103,Curepto,1/3/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11662,7103,Curepto,1/4/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11663,7103,Curepto,1/5/14,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11664,7103,Curepto,1/6/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11665,7103,Curepto,1/7/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11666,7103,Curepto,1/8/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11667,7103,Curepto,1/9/14,0,0,0,0,0,0,0,0,0,3,2,1,0,0
11668,7103,Curepto,1/10/14,0,0,1,0,1,0,0,0,0,1,1,0,0,0
11669,7103,Curepto,1/11/14,0,0,0,0,0,0,0,0,1,3,3,0,0,0
11670,7103,Curepto,1/12/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11671,7103,Curepto,1/1/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11672,7103,Curepto,1/2/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11673,7103,Curepto,1/3/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11674,7103,Curepto,1/4/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11675,7103,Curepto,1/5/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11676,7103,Curepto,1/6/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11677,7103,Curepto,1/7/15,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11678,7103,Curepto,1/8/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11679,7103,Curepto,1/9/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11680,7103,Curepto,1/10/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11681,7103,Curepto,1/11/15,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11682,7103,Curepto,1/12/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11683,7103,Curepto,1/1/16,0,0,2,0,0,2,0,0,0,1,0,1,0,0
11684,7103,Curepto,1/2/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11685,7103,Curepto,1/3/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11686,7103,Curepto,1/4/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11687,7103,Curepto,1/5/16,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11688,7103,Curepto,1/6/16,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11689,7103,Curepto,1/7/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11690,7103,Curepto,1/8/16,0,0,0,0,0,0,0,0,0,2,2,0,0,0
11691,7103,Curepto,1/9/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11692,7103,Curepto,1/10/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11693,7103,Curepto,1/11/16,0,0,0,0,0,0,0,0,0,4,4,0,0,0
11694,7103,Curepto,1/12/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11695,7103,Curepto,1/1/17,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11696,7103,Curepto,1/2/17,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11697,7103,Curepto,1/3/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11698,7103,Curepto,1/4/17,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11699,7103,Curepto,1/5/17,0,0,1,0,0,0,1,0,0,2,2,0,0,1
11700,7103,Curepto,1/6/17,0,0,0,0,0,0,0,0,0,2,1,1,0,0
11701,7301,Curicó,1/1/05,1,3,9,0,2,5,2,0,48,8,4,4,0,0
11702,7301,Curicó,1/2/05,0,2,8,0,0,2,5,1,54,7,4,3,0,1
11703,7301,Curicó,1/3/05,3,2,7,0,1,3,2,1,56,11,8,3,0,0
11704,7301,Curicó,1/4/05,1,1,18,0,3,8,6,1,62,9,6,3,0,0
11705,7301,Curicó,1/5/05,3,2,10,1,2,4,2,1,72,12,9,3,0,0
11706,7301,Curicó,1/6/05,7,4,4,0,0,1,2,1,40,11,9,2,1,0
11707,7301,Curicó,1/7/05,0,1,7,0,0,3,2,2,42,7,3,4,0,0
11708,7301,Curicó,1/8/05,4,2,17,0,0,6,5,6,44,13,5,8,0,0
11709,7301,Curicó,1/9/05,4,2,15,1,1,4,7,2,57,9,7,2,0,0
11710,7301,Curicó,1/10/05,5,0,9,1,0,1,6,1,45,17,10,7,1,0
11711,7301,Curicó,1/11/05,4,1,10,0,0,5,5,0,51,14,12,2,0,0
11712,7301,Curicó,1/12/05,3,1,7,0,0,2,1,4,53,12,6,6,1,0
11713,7301,Curicó,1/1/06,1,1,8,1,0,1,3,3,41,9,6,3,0,0
11714,7301,Curicó,1/2/06,1,1,9,0,1,4,2,2,41,7,5,2,0,0
11715,7301,Curicó,1/3/06,5,0,11,0,1,5,2,3,42,21,17,4,1,0
11716,7301,Curicó,1/4/06,7,3,14,0,3,6,1,4,33,11,10,1,1,0
11717,7301,Curicó,1/5/06,3,3,14,1,2,3,4,4,42,11,8,3,0,0
11718,7301,Curicó,1/6/06,5,1,15,2,2,5,4,2,49,16,12,4,0,0
11719,7301,Curicó,1/7/06,8,2,16,0,0,4,5,7,40,8,6,2,0,0
11720,7301,Curicó,1/8/06,6,6,19,1,0,6,1,11,75,12,6,6,0,0
11721,7301,Curicó,1/9/06,6,0,11,0,0,8,1,2,39,11,7,4,0,0
11722,7301,Curicó,1/10/06,10,3,7,0,0,1,2,4,58,12,7,5,0,0
11723,7301,Curicó,1/11/06,1,2,14,1,1,5,2,5,60,7,5,2,0,0
11724,7301,Curicó,1/12/06,4,2,12,2,2,3,2,3,73,10,4,6,0,1
11725,7301,Curicó,1/1/07,1,1,11,0,1,4,2,4,53,17,13,4,0,0
11726,7301,Curicó,1/2/07,5,1,11,0,1,10,0,0,49,17,12,5,0,0
11727,7301,Curicó,1/3/07,3,2,12,1,0,4,3,4,63,13,10,3,0,0
11728,7301,Curicó,1/4/07,7,0,4,0,0,1,1,2,53,10,5,5,1,0
11729,7301,Curicó,1/5/07,8,2,20,0,1,12,5,2,79,11,8,3,0,0
11730,7301,Curicó,1/6/07,6,2,10,1,0,3,4,2,63,8,7,1,0,0
11731,7301,Curicó,1/7/07,10,2,14,0,2,5,2,5,90,8,6,2,0,0
11732,7301,Curicó,1/8/07,7,2,13,0,1,2,4,6,98,12,8,4,0,0
11733,7301,Curicó,1/9/07,6,3,22,0,3,6,6,7,89,12,11,1,0,0
11734,7301,Curicó,1/10/07,7,1,19,0,4,8,6,1,82,9,8,1,0,0
11735,7301,Curicó,1/11/07,4,1,11,0,3,2,2,4,76,12,10,2,0,0
11736,7301,Curicó,1/12/07,5,4,8,0,1,4,3,0,89,15,11,4,0,0
11737,7301,Curicó,1/1/08,7,1,12,0,1,9,1,1,101,12,10,2,0,0
11738,7301,Curicó,1/2/08,2,3,10,0,1,2,6,1,108,14,7,7,0,1
11739,7301,Curicó,1/3/08,8,1,12,0,1,7,2,2,120,20,16,4,0,0
11740,7301,Curicó,1/4/08,3,1,10,0,4,2,2,2,90,12,11,1,0,0
11741,7301,Curicó,1/5/08,8,1,8,0,1,2,5,0,87,9,7,2,0,0
11742,7301,Curicó,1/6/08,6,3,21,0,2,7,4,8,102,13,10,3,1,1
11743,7301,Curicó,1/7/08,9,3,23,0,1,4,14,4,113,12,9,3,0,0
11744,7301,Curicó,1/8/08,6,3,16,0,1,6,5,4,84,15,14,1,0,0
11745,7301,Curicó,1/9/08,9,5,19,0,0,8,4,7,58,11,7,4,0,0
11746,7301,Curicó,1/10/08,1,4,24,0,3,8,7,6,66,16,12,4,0,0
11747,7301,Curicó,1/11/08,11,6,13,1,0,2,5,5,69,10,7,3,0,0
11748,7301,Curicó,1/12/08,5,2,11,0,1,2,5,3,79,16,12,4,2,1
11749,7301,Curicó,1/1/09,2,5,10,0,0,5,3,2,80,7,6,1,0,0
11750,7301,Curicó,1/2/09,6,3,8,0,0,3,2,3,67,14,10,4,0,0
11751,7301,Curicó,1/3/09,4,1,10,0,0,3,3,4,69,24,20,4,0,0
11752,7301,Curicó,1/4/09,8,2,5,0,1,2,2,0,65,18,14,4,0,1
11753,7301,Curicó,1/5/09,8,4,13,0,2,7,2,2,62,20,14,6,0,0
11754,7301,Curicó,1/6/09,7,0,16,0,0,6,6,4,72,23,18,5,0,0
11755,7301,Curicó,1/7/09,4,4,16,1,3,5,5,2,97,20,15,5,0,0
11756,7301,Curicó,1/8/09,11,2,20,0,3,3,10,4,94,22,21,1,3,1
11757,7301,Curicó,1/9/09,8,2,20,1,1,9,5,4,100,24,21,3,0,1
11758,7301,Curicó,1/10/09,7,0,17,1,1,2,6,7,76,29,23,6,0,0
11759,7301,Curicó,1/11/09,4,1,13,0,0,4,5,4,83,24,17,7,0,0
11760,7301,Curicó,1/12/09,8,3,10,0,1,4,5,0,70,25,21,4,2,0
11761,7301,Curicó,1/1/10,3,0,6,1,0,2,2,1,75,18,17,1,0,0
11762,7301,Curicó,1/2/10,1,1,6,0,1,1,3,1,68,10,8,2,0,0
11763,7301,Curicó,1/3/10,2,2,6,0,1,1,4,0,57,11,7,4,1,0
11764,7301,Curicó,1/4/10,5,1,9,0,1,3,2,3,75,18,17,1,0,0
11765,7301,Curicó,1/5/10,3,1,12,1,2,2,5,2,91,25,22,3,0,0
11766,7301,Curicó,1/6/10,8,0,14,0,3,7,4,0,84,22,16,6,1,0
11767,7301,Curicó,1/7/10,6,1,14,0,2,3,8,1,81,17,14,3,0,0
